#Event n.0
60611 5.92437
60612 3.94958
60618 3.94958
60622 5.92437
60623 1.97479
60624 3.94958
60629 5.92437
60631 5.92437
60708 1.97479
60713 5.92437
60714 3.94958
60716 1.97479
60717 1.97479
60718 1.97479
60719 3.94958
60730 1.97479
60932 1.97479
61117 5.92437
61210 1.97479
61216 1.97479
61230 3.94958
61231 3.94958
61260 1.97479
61317 3.94958
61319 3.94958
61320 5.92437
61321 3.94958
61328 5.92437
61336 5.92437
61489 5.92437
61506 3.94958
61513 1.97479
61515 1.97479
61522 1.97479
61536 1.97479
61537 1.97479
61555 3.94958
61562 5.92437
61569 5.92437
61579 1.97479
61588 1.97479
61590 5.92437
61591 3.94958
61592 3.94958
61593 3.94958
61596 3.94958
61618 3.94958
61642 1.97479
61671 5.92437
61672 1.97479
61674 3.94958
61675 1.97479
61712 1.97479
61719 5.92437
61740 1.97479
61741 1.97479
61744 3.94958
61745 3.94958
61746 1.97479
61771 5.92437
61839 5.92437
61843 5.92437
61845 5.92437
61874 5.92437
61875 5.92437
61876 3.94958
61880 1.97479
61882 3.94958
61884 3.94958
61886 5.92437
61887 1.97479
61888 5.92437
61889 5.92437
61890 5.92437
61891 5.92437
61893 1.97479
61894 5.92437
61904 3.94958
61905 1.97479
61906 5.92437
61907 5.92437
61908 1.97479
61996 5.92437
61997 3.94958
61998 3.94958
61999 1.97479
62090 1.97479
62092 1.97479
62093 1.97479
62205 5.92437
62206 3.94958
62207 3.94958
62208 5.92437
62209 3.94958
62210 1.97479
62211 1.97479
62213 1.97479
62218 1.97479
62219 1.97479
62222 1.97479
62228 1.97479
62229 5.92437
62230 1.97479
62305 1.97479
62308 1.97479
62363 1.97479
62364 1.97479
62475 1.97479
62478 1.97479
62479 3.94958
62480 3.94958
62481 1.97479
62489 5.92437
62490 5.92437
62491 1.97479
62494 5.92437
62495 5.92437
62496 5.92437
62497 1.97479
62498 1.97479
62567 7.89916
62597 5.92437
62599 7.89916
62600 1.97479
62605 7.89916
62606 7.89916
62608 5.92437
62619 3.94958
62776 1.97479
62784 1.97479
62794 3.94958
62796 3.94958
62809 5.92437
62817 1.97479
62818 3.94958
62824 1.97479
62827 5.92437
62828 5.92437
62835 5.92437
62859 5.92437
62865 5.92437
62869 3.94958
62870 5.92437
62873 1.97479
62921 1.97479
62923 3.94958
62924 5.92437
62925 3.94958
62926 1.97479
62953 3.94958
62956 3.94958
62957 5.92437
62958 5.92437
62966 1.97479
62968 1.97479
62975 1.97479
62978 5.92437
62979 1.97479
62980 1.97479
62981 5.92437
62982 5.92437
62990 1.97479
62991 1.97479
62992 5.92437
62993 3.94958
62994 5.92437
62995 1.97479
62996 1.97479
62997 1.97479
62998 1.97479
62999 5.92437
63021 3.94958
63024 5.92437
63025 1.97479
63026 1.97479
63044 5.92437
63054 5.92437
63057 3.94958
63091 5.92437
63123 5.92437
63125 5.92437
63134 5.92437
63135 1.97479
63136 5.92437
63142 1.97479
63143 1.97479
63158 5.92437
63159 1.97479
63160 5.92437
63161 3.94958
63162 5.92437
63163 1.97479
63168 3.94958
63189 3.94958
63190 5.92437
63364 1.97479
63366 5.92437
63367 5.92437
63368 1.97479
63371 3.94958
63372 5.92437
63373 3.94958
63374 3.94958
63375 5.92437
63376 5.92437
63377 5.92437
63381 1.97479
63382 1.97479
63383 1.97479
63387 1.97479
63388 5.92437
63389 1.97479
63487 1.97479
63490 1.97479
63491 3.94958
63492 3.94958
63499 1.97479
63500 3.94958
63501 5.92437
63502 5.92437
63503 3.94958
63504 5.92437
63505 5.92437
63506 5.92437
63507 5.92437
63508 5.92437
63509 3.94958
63511 3.94958
63538 1.97479
63539 1.97479
63540 1.97479
63541 1.97479
63543 1.97479
63544 1.97479
63546 1.97479
63568 1.97479
63569 3.94958
63570 5.92437
63571 1.97479
63572 1.97479
63586 3.94958
63587 5.92437
63588 5.92437
63589 3.94958
63590 5.92437
63591 1.97479
63592 3.94958
63593 1.97479
63594 1.97479
63595 1.97479
63596 1.97479
63597 1.97479
63598 5.92437
63599 5.92437
63600 5.92437
63601 5.92437
63602 5.92437
63603 5.92437
63604 5.92437
63605 5.92437
63606 5.92437
63607 5.92437
63634 1.97479
63635 1.97479
63636 1.97479
63637 1.97479
63638 1.97479
63639 1.97479
63640 1.97479
63641 7.89916
63642 7.89916
63643 5.92437
63644 1.97479
63645 1.97479
63646 5.92437
63647 5.92437
63648 5.92437
63649 5.92437
63650 1.97479
63651 1.97479
63652 3.94958
63653 5.92437
63654 1.97479
63657 1.97479
63658 1.97479
63659 1.97479
63660 1.97479
63661 1.97479
63662 5.92437
63663 1.97479
63664 5.92437
63665 1.97479
63666 3.94958
63667 1.97479
63668 1.97479
63669 1.97479
63670 7.89916
63671 5.92437
63672 3.94958
63673 3.94958
63674 3.94958
63675 7.89916
63676 3.94958
63677 1.97479
63678 5.92437
63756 1.97479
63758 7.89916
63759 3.94958
63763 3.94958
63764 5.92437
63766 1.97479
63767 1.97479
63768 1.97479
63769 5.92437
63773 5.92437
63774 5.92437
63775 1.97479
63779 3.94958
63780 7.89916
63781 7.89916
63842 1.97479
63843 5.92437
63846 5.92437
63847 5.92437
63885 5.92437
63888 5.92437
63900 3.94958
63902 5.92437
63903 5.92437
63904 5.92437
63910 5.92437
64054 5.92437
64057 5.92437
64061 3.94958
64065 3.94958
64071 5.92437
64091 3.94958
64102 3.94958
64104 5.92437
64105 3.94958
64121 5.92437
64144 7.89916
64202 3.94958
64203 5.92437
64206 5.92437
64207 3.94958
64208 3.94958
64247 3.94958
64248 5.92437
64249 3.94958
64252 1.97479
64253 5.92437
64254 1.97479
64255 5.92437
64256 1.97479
64260 3.94958
64261 3.94958
64271 3.94958
64272 3.94958
64276 3.94958
64277 3.94958
64278 3.94958
64279 3.94958
64304 5.92437
64319 1.97479
64320 5.92437
64324 5.92437
64338 1.97479
64340 5.92437
64403 5.92437
64416 3.94958
64420 3.94958
64421 9.87395
64422 5.92437
64423 3.94958
64424 3.94958
64425 5.92437
64440 3.94958
64628 3.94958
64645 3.94958
64646 5.92437
64649 7.89916
64650 5.92437
64651 3.94958
64659 5.92437
64660 5.92437
64661 3.94958
64662 3.94958
64663 3.94958
64664 3.94958
64665 5.92437
64666 5.92437
64667 3.94958
64668 3.94958
64670 3.94958
64708 1.97479
64709 1.97479
64710 1.97479
64713 1.97479
64819 3.94958
64820 3.94958
64821 3.94958
64822 3.94958
64823 5.92437
64824 3.94958
64825 3.94958
64826 5.92437
64827 3.94958
64830 3.94958
64836 1.97479
64837 5.92437
64838 5.92437
64839 5.92437
64840 1.97479
64842 1.97479
64843 5.92437
64844 3.94958
64845 5.92437
64846 5.92437
64847 5.92437
64848 1.97479
64849 3.94958
64852 3.94958
64853 1.97479
64872 5.92437
64873 1.97479
64874 3.94958
64875 3.94958
64876 5.92437
64877 5.92437
64878 3.94958
64890 1.97479
64915 3.94958
64916 3.94958
64917 3.94958
64918 3.94958
64919 3.94958
64920 3.94958
64921 3.94958
64931 3.94958
64932 3.94958
64933 1.97479
64935 3.94958
64936 5.92437
64937 5.92437
64938 3.94958
64939 3.94958
64940 3.94958
64941 3.94958
64942 3.94958
64944 3.94958
64946 3.94958
64947 5.92437
64948 1.97479
64949 1.97479
64950 1.97479
64957 3.94958
64958 3.94958
65044 1.97479
65046 5.92437
65047 3.94958
65048 3.94958
65049 3.94958
65107 3.94958
65108 5.92437
65111 1.97479
65112 5.92437
65113 5.92437
65122 1.97479
65123 3.94958
65125 5.92437
65126 5.92437
65130 5.92437
65131 1.97479
65132 5.92437
65155 1.97479
65182 5.92437
65192 5.92437
65195 5.92437
65196 5.92437
65197 5.92437
65234 1.97479
65352 1.97479
65372 1.97479
65384 3.94958
65401 5.92437
65424 5.92437
65426 5.92437
65478 3.94958
65533 1.97479
65535 3.94958
65600 3.94958
65603 1.97479
65604 5.92437
65613 5.92437
65620 5.92437
65631 5.92437
65654 3.94958
65690 5.92437
65695 1.97479
65699 5.92437
65700 5.92437
65701 1.97479
65706 1.97479
65707 5.92437
65907 1.97479
65909 1.97479
65910 5.92437
65932 1.97479
65942 1.97479
65989 3.94958
65990 1.97479
65991 1.97479
65994 1.97479
66117 1.97479
66121 3.94958
66122 5.92437
66123 3.94958
66125 1.97479
66129 3.94958
66388 1.97479
66390 5.92437
66391 5.92437
66392 3.94958
66395 1.97479
66396 3.94958
66397 5.92437
66401 5.92437
66402 5.92437
66403 3.94958
66412 3.94958
66435 1.97479
66436 3.94958
66467 5.92437
66468 5.92437
66471 3.94958
66474 5.92437
66475 5.92437
66479 5.92437
66508 1.97479
66513 5.92437
66514 3.94958
66515 3.94958
66516 5.92437
66517 5.92437
66521 1.97479
66526 1.97479
66527 1.97479
66636 1.97479
66685 5.92437
66883 3.94958
66884 3.94958
66913 1.97479
66935 1.97479
66970 3.94958
66976 1.97479
67188 1.97479
67676 3.94958
67677 1.97479
67679 3.94958
67680 3.94958
67681 5.92437
67703 5.92437
67711 3.94958
67712 5.92437
67713 5.92437
67715 1.97479
67716 3.94958
67750 5.92437
67751 5.92437
67752 1.97479
67802 1.97479
67803 3.94958
67804 1.97479
67807 1.97479
67808 1.97479
68171 3.94958
68174 3.94958
68978 3.94958
68982 3.94958
68983 3.94958
68992 1.97479
68995 3.94958
68996 3.94958
68999 3.94958
96161 1.97479
96162 1.97479
96408 5.92437
96415 1.97479
96424 3.94958
96425 3.94958
97364 1.97479
97442 3.94958
97443 1.97479
97444 3.94958
97588 1.97479
97688 5.92437
97692 3.94958
97694 5.92437
97698 5.92437
97700 5.92437
97701 3.94958
97702 1.97479
97703 3.94958
97706 1.97479
98645 1.97479
98659 5.92437
98706 3.94958
98722 3.94958
98725 3.94958
98766 3.94958
98924 3.94958
98972 3.94958
98973 1.97479
98974 3.94958
98980 5.92437
98983 3.94958
99014 5.92437
99016 5.92437
99044 5.92437
99045 1.97479
99046 5.92437
99136 3.94958
99137 3.94958
99140 1.97479
99548 5.92437
99665 1.97479
99760 3.94958
99761 1.97479
99762 1.97479
99763 3.94958
99924 5.91597
99946 1.97479
99978 5.92437
100015 3.94958
100017 5.92437
100024 3.94958
100046 5.92437
100050 1.97479
100179 1.97479
100205 1.97479
100252 5.91597
100296 5.92437
100298 1.97479
100300 1.97479
100301 3.94958
100302 1.97479
100303 5.92437
100326 1.97479
100328 3.94958
100330 5.91597
100331 3.94958
100332 5.91597
100341 5.91597
100417 1.97479
100419 3.94958
100420 5.92437
100421 1.97479
100422 3.94958
100431 3.94958
100440 3.94958
100441 1.97479
100442 1.97479
100939 3.94958
100943 1.97479
100944 3.94958
100945 5.92437
100968 1.97479
101033 7.89916
101041 1.97479
101043 3.94958
101046 7.89916
101048 5.92437
101225 5.91597
101227 1.97479
101233 1.97479
101290 5.91597
101297 3.94958
101302 3.05042
101304 3.05042
101306 5.91597
101307 3.05042
101329 1.97479
101330 5.92437
101331 1.97479
101332 1.97479
101460 3.94958
101461 7.89916
101466 1.97479
101467 3.94958
101483 5.92437
101485 3.94958
101520 5.91597
101551 5.91597
101579 1.97479
101580 5.91597
101581 1.97479
101583 1.97479
101587 3.05042
101594 7
101595 3.05042
101596 3.94958
101603 5.91597
101604 5.91597
101610 5.91597
101614 5.91597
101615 5.91597
101616 5.91597
101621 5.91597
101623 5.91597
101700 1.97479
101705 3.94958
101706 5.92437
101708 1.97479
101709 1.97479
101710 1.97479
101711 5.92437
101715 5.92437
101716 1.97479
101717 3.94958
101721 1.97479
101722 3.94958
101723 3.94958
101923 1.97479
101924 1.97479
101926 1.97479
102109 3.94958
102222 5.92437
102223 5.92437
102224 5.92437
102246 1.97479
102247 1.97479
102249 1.97479
102250 3.94958
102251 7.89916
102252 7.89916
102255 3.94958
102309 5.92437
102312 3.94958
102313 5.92437
102320 1.97479
102321 5.92437
102328 3.94958
102481 5.91597
102496 3.94958
102498 3.94958
102505 10.2101
102507 3.05042
102514 3.94958
102528 1.97479
102529 3.05042
102547 5.92437
102554 3.05042
102561 5.91597
102580 5.91597
102582 5.91597
102583 2.86555
102584 5.91597
102588 2.86555
102610 1.97479
102613 1.97479
102634 3.05042
102663 3.94958
102664 3.05042
102665 3.94958
102666 5.92437
102667 1.97479
102711 7.89076
102732 1.97479
102733 7.89916
102736 1.97479
102738 5.92437
102763 3.94958
102831 5.91597
102835 5.91597
102837 5.91597
102866 5.91597
102867 5.91597
102868 2.86555
102872 3.05042
102874 5.91597
102876 2.86555
102878 5.91597
102879 3.05042
102880 5.91597
102881 5.91597
102882 5.91597
102883 5.91597
102886 5.91597
102898 5.91597
102899 5.91597
102900 10.2101
102988 5.91597
102989 1.97479
102990 1.97479
102991 3.94958
102997 3.94958
103082 3.05042
103084 3.05042
103085 3.05042
103197 5.91597
103198 5.91597
103199 5.92437
103200 3.94958
103201 5.91597
103202 3.05042
103203 3.05042
103204 3.94958
103205 3.94958
103207 1.97479
103208 5.92437
103209 1.97479
103210 1.97479
103211 3.05042
103214 1.97479
103220 1.97479
103221 3.94958
103222 1.97479
103284 1.97479
103285 1.97479
103297 3.05042
103300 3.05042
103339 1.97479
103340 1.97479
103341 3.94958
103356 1.97479
103452 3.94958
103467 1.97479
103468 5.92437
103470 1.97479
103471 1.97479
103472 5.92437
103473 7.89916
103481 3.94958
103482 3.94958
103483 5.92437
103486 3.05042
103487 3.94958
103488 3.94958
103489 5.92437
103490 1.97479
103526 5.92437
103527 3.94958
103528 3.94958
103531 1.97479
103559 5.02521
103589 3.94958
103591 5.02521
103592 3.94958
103597 5.91597
103598 5.02521
103600 3.05042
103601 1.97479
103611 3.05042
103768 3.05042
103776 3.05042
103777 3.94958
103788 2.86555
103801 5.91597
103809 3.94958
103810 2.86555
103815 3.05042
103816 5.91597
103818 3.94958
103819 5.91597
103820 5.91597
103827 5.91597
103835 2.86555
103851 5.91597
103857 5.91597
103862 5.91597
103913 5.91597
103915 2.86555
103916 5.91597
103917 3.05042
103918 1.97479
103945 2.86555
103948 1.97479
103949 3.94958
103950 5.91597
103958 1.97479
103960 3.05042
103967 1.97479
103968 3.94958
103969 1.97479
103970 5.91597
103971 1.97479
103972 5.91597
103973 5.91597
103974 5.91597
103975 1.97479
103976 3.94958
103981 7.89916
103982 3.05042
103983 3.05042
103984 3.94958
103985 3.94958
103986 5.91597
103987 3.05042
103988 3.05042
103989 3.05042
103990 1.97479
103991 3.94958
104013 1.97479
104016 5.91597
104017 1.97479
104018 7.89076
104036 5.91597
104046 5.91597
104049 3.05042
104083 5.91597
104114 5.91597
104115 5.91597
104117 5.91597
104126 5.91597
104127 5.91597
104128 5.91597
104134 5.91597
104135 5.91597
104150 5.91597
104151 5.91597
104152 5.91597
104153 2.86555
104154 5.91597
104160 2.86555
104182 5.91597
104356 3.05042
104358 5.91597
104359 5.91597
104360 3.05042
104363 2.86555
104364 5.91597
104365 2.86555
104366 2.86555
104367 5.91597
104368 5.91597
104369 5.91597
104373 3.05042
104374 3.05042
104375 1.97479
104379 3.05042
104380 5.91597
104381 5.91597
104483 2.86555
104484 2.86555
104490 3.94958
104491 3.94958
104492 2.86555
104493 5.91597
104494 5.91597
104495 1.97479
104496 3.94958
104497 3.94958
104498 5.91597
104499 5.91597
104500 5.91597
104501 1.97479
104503 1.97479
104530 3.05042
104531 3.05042
104532 3.05042
104533 1.97479
104535 1.97479
104536 3.05042
104538 3.05042
104560 1.97479
104561 5.92437
104562 3.94958
