#chan	aget	asad	cobo	row	col	detector	psa pad
36	2	0	0	28	45	0	line
37	2	0	0	29	42	0	line
38	2	0	0	31	44	0	line
39	2	0	0	31	40	0	line
40	2	0	0	30	47	0	line
41	2	0	0	30	41	0	line
42	2	0	0	30	34	0	line
43	2	0	0	31	36	0	line
44	2	0	0	29	44	0	line
45	2	0	0	-1	-1	0	none
46	2	0	0	28	39	0	line
47	2	0	0	29	35	0	line
48	2	0	0	31	32	0	line
49	2	0	0	30	43	0	line
50	2	0	0	29	38	0	line
51	2	0	0	31	46	0	line
52	2	0	0	28	36	0	line
53	2	0	0	28	41	0	line
54	2	0	0	29	40	0	line
55	2	0	0	30	38	0	line
56	2	0	0	-1	-1	0	none
57	2	0	0	31	42	0	line
58	2	0	0	28	35	0	line
59	2	0	0	30	39	0	line
60	2	0	0	29	39	0	line
61	2	0	0	31	38	0	line
62	2	0	0	30	33	0	line
63	2	0	0	28	37	0	line
64	2	0	0	30	42	0	line
65	2	0	0	31	34	0	line
66	2	0	0	28	40	0	line
67	2	0	0	29	34	0	line
0	3	0	0	30	51	0	line
1	3	0	0	31	59	0	line
2	3	0	0	28	62	0	line
3	3	0	0	29	52	0	line
4	3	0	0	29	59	0	line
5	3	0	0	31	63	0	line
6	3	0	0	29	61	0	line
7	3	0	0	28	49	0	line
8	3	0	0	28	60	0	line
9	3	0	0	31	55	0	line
10	3	0	0	30	60	0	line
11	3	0	0	-1	-1	0	none
12	3	0	0	29	48	0	line
13	3	0	0	30	62	0	line
14	3	0	0	31	51	0	line
15	3	0	0	28	63	0	line
16	3	0	0	28	58	0	line
17	3	0	0	31	61	0	line
18	3	0	0	29	63	0	line
19	3	0	0	30	53	0	line
20	3	0	0	29	57	0	line
21	3	0	0	30	48	0	line
22	3	0	0	-1	-1	0	none
23	3	0	0	31	57	0	line
24	3	0	0	29	62	0	line
25	3	0	0	30	56	0	line
26	3	0	0	29	49	0	line
27	3	0	0	31	53	0	line
28	3	0	0	30	61	0	line
29	3	0	0	28	54	0	line
30	3	0	0	28	50	0	line
31	3	0	0	30	52	0	line
32	3	0	0	29	53	0	line
33	3	0	0	28	59	0	line
34	3	0	0	31	49	0	line
35	3	0	0	28	48	0	line
36	3	0	0	28	61	0	line
37	3	0	0	29	58	0	line
38	3	0	0	31	60	0	line
39	3	0	0	31	56	0	line
40	3	0	0	30	63	0	line
41	3	0	0	30	57	0	line
42	3	0	0	30	50	0	line
43	3	0	0	31	52	0	line
44	3	0	0	29	60	0	line
45	3	0	0	-1	-1	0	none
46	3	0	0	28	55	0	line
47	3	0	0	29	51	0	line
48	3	0	0	31	48	0	line
49	3	0	0	30	59	0	line
50	3	0	0	29	54	0	line
51	3	0	0	31	62	0	line
52	3	0	0	28	52	0	line
53	3	0	0	28	57	0	line
54	3	0	0	29	56	0	line
55	3	0	0	30	54	0	line
56	3	0	0	-1	-1	0	none
57	3	0	0	31	58	0	line
58	3	0	0	28	51	0	line
59	3	0	0	30	55	0	line
60	3	0	0	29	55	0	line
61	3	0	0	31	54	0	line
62	3	0	0	30	49	0	line
63	3	0	0	28	53	0	line
64	3	0	0	30	58	0	line
65	3	0	0	31	50	0	line
66	3	0	0	28	56	0	line
67	3	0	0	29	50	0	line
0	0	1	0	24	3	0	line
1	0	1	0	25	9	0	line
2	0	1	0	22	14	0	line
3	0	1	0	23	4	0	line
4	0	1	0	23	11	0	line
5	0	1	0	26	10	0	line
6	0	1	0	23	13	0	line
7	0	1	0	22	1	0	line
8	0	1	0	22	12	0	line
9	0	1	0	27	7	0	line
10	0	1	0	24	12	0	line
11	0	1	0	-1	-1	0	none
12	0	1	0	23	0	0	line
13	0	1	0	24	14	0	line
14	0	1	0	26	6	0	line
15	0	1	0	22	15	0	line
16	0	1	0	22	10	0	line
17	0	1	0	25	5	0	line
18	0	1	0	23	15	0	line
19	0	1	0	24	5	0	line
20	0	1	0	23	9	0	line
21	0	1	0	24	0	0	line
22	0	1	0	-1	-1	0	none
23	0	1	0	27	3	0	line
24	0	1	0	23	14	0	line
25	0	1	0	24	8	0	line
26	0	1	0	23	1	0	line
27	0	1	0	26	2	0	line
28	0	1	0	24	13	0	line
29	0	1	0	22	6	0	line
30	0	1	0	22	2	0	line
31	0	1	0	24	4	0	line
32	0	1	0	23	5	0	line
33	0	1	0	22	11	0	line
34	0	1	0	25	1	0	line
35	0	1	0	22	0	0	line
36	0	1	0	22	13	0	line
37	0	1	0	23	10	0	line
38	0	1	0	26	4	0	line
39	0	1	0	25	3	0	line
40	0	1	0	24	15	0	line
41	0	1	0	24	9	0	line
